#,Text,Gloss,NpyFilesRoot
1,apply the ointment twice daily,OINTMENT APPLY TWICE DAILY,/OINTMENT APPLY TWICE DAILY/*.npy
2,Are the symptoms getting worse?,SYMPTOMS WORSE GET ANY?,/SYMPTOMS WORSE GET ANY/*.npy
3,Are there activities or food to avoid with this condition?,CONDITION THIS AVOID ACTIVITY OR FOOD ANY?,/CONDITION THIS AVOID ACTIVITY OR FOOD ANY?/*.npy
4,Are there activities that worsen your symptoms?,"ACTIVITIES SYMPTOMS WORSE CAUSE, ANY?","/ACTIVITIES SYMPTOMS WORSE CAUSE, ANY/*.npy"
5,Are there alternative therapies for managing my anxiety?,ANXIETY MANAGE THERAPIES ALTERNATIVE?,/ANXIETY MANAGE THERAPIES ALTERNATIVE/*.npy
6,Are there any accessibility needs for your appointment?,APPOINTMENT ACCESSIBILITY NEEDS HAVE YOU?,/APPOINTMENT ACCESSIBILITY NEEDS HAVE YOU/*.npy
7,are there any activities or foods you should avoid with this condition?,CONDITION THIS AVOID ACTIVITY OR FOOD ANY?,/CONDITION THIS AVOID ACTIVITY OR FOOD ANY?/*.npy
8,Are there any activities that make your symptoms worse?,"ACTIVITIES SYMPTOMS WORSE CAUSE, ANY?","/ACTIVITIES SYMPTOMS WORSE CAUSE, ANY/*.npy"
9,Are there any activities that you had to stop because of the condition?,"ACTIVITIES STOP BECAUSE CONDITION, ANY?","/ACTIVITIES STOP BECAUSE CONDITION, ANY/*.npy"
10,Are there any activities you want to start again?,"ACTIVITIES WANT START AGAIN, ANY?","/ACTIVITIES WANT START AGAIN, ANY/*.npy"
11,Are there any activities you’d like to get back to doing?,"ACTIVITIES WANT START AGAIN, ANY?","/ACTIVITIES WANT START AGAIN, ANY/*.npy"
12,Are there any activities you’d like to try but feel uncomfortable because of your condition?,ACTIVITIES TRY WANT BUT CONDITION UNCOMFORTABLE YOU?,/ACTIVITIES TRY WANT BUT CONDITION UNCOMFORTABLE YOU/*.npy
13,Are there any activities you've had to stop due to your condition?,"ACTIVITIES STOP BECAUSE CONDITION, ANY?","/ACTIVITIES STOP BECAUSE CONDITION, ANY/*.npy"
14,Are there any alternative therapies for pain management?,PAIN MANAGE THERAPIES ALTERNATIVE?,/PAIN MANAGE THERAPIES ALTERNATIVE/*.npy
15,Are there any alternatives to CPAP?,CPAP ALTERNATIVE?,/CPAP ALTERNATIVE/*.npy
16,Are there any challenges you’re facing with your daily routine?,DAILY ROUTINE CHALLENGES FACE YOU?,/DAILY ROUTINE CHALLENGES FACE YOU/*.npy
17,Are there any concerns about your recovery?,RECOVERY CONCERNS HAVE YOU?,/RECOVERY CONCERNS HAVE YOU/*.npy
18,are there any concerns you have about managing your condition long-term?,CONDITION LONG-TERM MANAGE CONCERN ANY?,/CONDITION LONG-TERM MANAGE CONCERN ANY?/*.npy
19,Are there any dietary changes you’d like to discuss?,DIET CHANGE DISCUSS WANT YOU?,/DIET CHANGE DISCUSS WANT YOU/*.npy
20,are there any dietary restrictions they need to follow post-surgery?,"POST-SURGERY, DIETARY RESTRICTIONS ANY?","/POST-SURGERY, DIETARY RESTRICTIONS ANY?/*.npy"
21,are there any dietary restrictions to follow post-surgery?,"POST-SURGERY, DIETARY RESTRICTIONS ANY?","/POST-SURGERY, DIETARY RESTRICTIONS ANY?/*.npy"
22,Are there any food I should avoid while taking this medication?,MEDICATION TAKE FOOD AVOID SHOULD?,/MEDICATION TAKE FOOD AVOID SHOULD/*.npy
23,Are there any food that can help with inflammation?,INFLAMMATION HELP FOOD?,/INFLAMMATION HELP FOOD/*.npy
24,Are there any food that can increase my energy levels?,ENERGY LEVELS INCREASE FOOD?,/ENERGY LEVELS INCREASE FOOD/*.npy
25,Are there any food that can lower my blood pressure?,BLOOD PRESSURE LOWER FOOD?,/BLOOD PRESSURE LOWER FOOD/*.npy
26,Are there any food that might worsen my symptoms?,SYMPTOMS WORSE FOOD?,/SYMPTOMS WORSE FOOD/*.npy
27,Are there any health screenings to do?,HEALTH SCREENINGS DO?,/HEALTH SCREENINGS DO/*.npy
28,Are there any lifestyle changes you want to make?,LIFESTYLE CHANGE MAKE WANT YOU?,/LIFESTYLE CHANGE MAKE WANT YOU/*.npy
29,Are there any lifestyle changes you’d like to focus on?,LIFESTYLE CHANGES FOCUS WANT YOU?,/LIFESTYLE CHANGES FOCUS WANT YOU/*.npy
30,are there any lifestyle changes you've made recently related to your health?,HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?,/HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?/*.npy
31,Are there any medical terms you’d like me to explain?,MEDICAL TERMS EXPLAIN WANT YOU?,/MEDICAL TERMS EXPLAIN WANT YOU/*.npy
32,Are there any medications you take daily?,MEDICATION DAILY TAKE ANY?,/MEDICATION DAILY TAKE ANY/*.npy
33,Are there any medications you’d like to stop or adjust?,MEDICATIONS STOP OR ADJUST WANT YOU?,/MEDICATIONS STOP OR ADJUST WANT YOU/*.npy
34,Are there any mobile apps you’d recommend for health management?,HEALTH MANAGEMENT APPS MOBILE RECOMMEND?,/HEALTH MANAGEMENT APPS MOBILE RECOMMEND/*.npy
35,Are there any new medications you've started taking?,MEDICATION NEW START TAKE YOU?,/MEDICATION NEW START TAKE YOU/*.npy
36,Are there any other symptoms accompanying this?,"OTHER SYMPTOMS WITH THIS, ANY?","/OTHER SYMPTOMS WITH THIS, ANY/*.npy"
37,Are there any other symptoms with this?,"OTHER SYMPTOMS WITH THIS, ANY?","/OTHER SYMPTOMS WITH THIS, ANY/*.npy"
38,Are there any over-the-counter medication you’re taking?,MEDICATIONS OVER-THE-COUNTER TAKE YOU?,/MEDICATIONS OVER-THE-COUNTER TAKE YOU/*.npy
39,Are there any parts of your diagnosis that remain unclear?,DIAGNOSIS UNCLEAR PARTS HAVE YOU?,/DIAGNOSIS UNCLEAR PARTS HAVE YOU/*.npy
40,Are there any preferred methods you’d like us to use?,METHODS PREFERRED USE WANT YOU?,/METHODS PREFERRED USE WANT YOU/*.npy
41,Are there any questions you have about medication interactions?,MEDICATION INTERACTIONS QUESTIONS HAVE YOU?,/MEDICATION INTERACTIONS QUESTIONS HAVE YOU/*.npy
42,are there any questions you have about the risks or benefits of your treatment?,TREATMENT RISK BENEFIT QUESTION HAVE?,/TREATMENT RISK BENEFIT QUESTION HAVE?/*.npy
43,Are there any recent changes in your hearing?,HEARING CHANGE RECENT NOTICE YOU?,/HEARING CHANGE RECENT NOTICE YOU/*.npy
44,Are there any side effects bothering you?,SIDE EFFECTS BOTHER YOU?,/SIDE EFFECTS BOTHER YOU/*.npy
45,are there any side effects we should monitor with this new medication?,NEW MEDICATION SIDE EFFECTS MONITOR NEED?,/NEW MEDICATION SIDE EFFECTS MONITOR NEED?/*.npy
46,are there any specific activities you should be doing more or less of?,ACTIVITY SPECIFIC MORE LESS DO SHOULD?,/ACTIVITY SPECIFIC MORE LESS DO SHOULD?/*.npy
47,Are there any specific concerns you have about the testing process?,TESTING PROCESS CONCERNS SPECIFIC HAVE YOU?,/TESTING PROCESS CONCERNS SPECIFIC HAVE YOU/*.npy
48,are there any specific concerns you'd like to address today?,TODAY SPECIFIC CONCERN HAVE YOU?,/TODAY SPECIFIC CONCERN HAVE YOU?/*.npy
49,Are there any specific instructions you’d like repeated?,INSTRUCTIONS SPECIFIC REPEAT WANT YOU?,/INSTRUCTIONS SPECIFIC REPEAT WANT YOU/*.npy
50,are there any specific signs of improvement i should look for?,"IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?","/IMPROVEMENT SIGNS SPECIFIC, LOOK FOR WHAT?/*.npy"
51,Are there any specific skills you’d like to learn to improve their care?,CARE THEIR IMPROVE SKILLS LEARN SPECIFIC WANT YOU?,/CARE THEIR IMPROVE SKILLS LEARN SPECIFIC WANT YOU/*.npy
52,are there any specific symptoms we need to monitor closely?,SYMPTOM SPECIFIC MONITOR CLOSE NEED?,/SYMPTOM SPECIFIC MONITOR CLOSE NEED?/*.npy
53,are there any specific symptoms we should be monitoring more closely?,SYMPTOM SPECIFIC MONITOR CLOSE NEED?,/SYMPTOM SPECIFIC MONITOR CLOSE NEED?/*.npy
54,Are there any support groups for patients like me?,"LIKE ME PATIENTS, SUPPORT GROUP THERE?","/LIKE ME PATIENTS, SUPPORT GROUP THERE?/*.npy"
55,Are there any support groups in your area?,SUPPORT GROUPS AREA YOUR HAVE?,/SUPPORT GROUPS AREA YOUR HAVE/*.npy
56,are there any support services available for family members?,"SUPPORT SERVICES FAMILY, AVAILABLE ANY?","/SUPPORT SERVICES FAMILY, AVAILABLE ANY?/*.npy"
57,are there any symptoms or changes you're particularly concerned about?,SYMPTOM CHANGE SPECIFIC CONCERN HAVE?,/SYMPTOM CHANGE SPECIFIC CONCERN HAVE?/*.npy
